iteration,timestamp,time_ms,memory_process_mb,memory_system_mb,temp_delta_c,temp_absolute_c,current_ma
1,2025-12-05T15:30:28.246712,0.06314900002735158,0.015625,0.0,0.0,32.3,0.20000000000000004
2,2025-12-05T15:30:28.252332,0.07222300001785698,0.0,0.0,0.0,31.8,0.0
3,2025-12-05T15:30:28.257843,0.0695560000281148,0.0,0.0,0.0,32.9,0.2
4,2025-12-05T15:30:28.263356,0.07109300003094177,0.0,0.0,0.0,32.3,-0.4
5,2025-12-05T15:30:28.268835,0.07011100001363957,0.0,0.0,0.0,32.9,-0.1
6,2025-12-05T15:30:28.274281,0.07079599998860431,0.0,0.0,0.0,32.9,-0.1
7,2025-12-05T15:30:28.279774,0.07059300003220415,0.015625,0.0,0.0,34.0,0.1
8,2025-12-05T15:30:28.285297,0.07083399998464301,0.0,0.0,0.0,32.3,0.5
9,2025-12-05T15:30:28.290758,0.07144400001379836,0.0,0.0,0.0,32.3,-0.4
10,2025-12-05T15:30:28.296268,0.0706850000256054,0.0,0.0,0.0,32.3,0
11,2025-12-05T15:30:28.301702,0.07179699997550415,0.0,0.0,0.0,32.3,0.2
12,2025-12-05T15:30:28.307323,0.0734999999849606,0.015625,0.0,0.0,32.3,0.0
13,2025-12-05T15:30:28.312852,0.07072200003221951,0.0,0.0,0.6000000000000014,32.9,0.4000000000000001
14,2025-12-05T15:30:28.318347,0.07294499999943582,0.0,0.0,0.0,32.9,0.1
15,2025-12-05T15:30:28.323806,0.0707599999714148,0.0,0.0,-0.6000000000000014,32.3,-0.2
16,2025-12-05T15:30:28.329284,0.07188899996890541,0.0,0.0,-0.49999999999999645,31.8,0.1
17,2025-12-05T15:30:28.334758,0.07444499999564869,0.0,0.0,0.0,31.8,-0.1
18,2025-12-05T15:30:28.340287,0.0710369999978866,0.0,0.0,1.0999999999999979,32.9,0.0
19,2025-12-05T15:30:28.345717,0.07150099997943471,0.0,0.0,0.0,32.9,0.0
20,2025-12-05T15:30:28.351239,0.07359300002462987,0.0,0.0,0.0,31.8,-0.1
21,2025-12-05T15:30:28.356729,0.07435200001282283,0.0,0.0,0.0,32.3,-0.1
22,2025-12-05T15:30:28.362186,0.0732229999584888,0.0,0.0,0.0,32.3,0.0
23,2025-12-05T15:30:28.367636,0.07209299997157359,0.0,0.0,0.0,32.3,-0.1
24,2025-12-05T15:30:28.373132,0.0713900000164358,0.0,0.0,0.0,32.3,-0.1
25,2025-12-05T15:30:28.378626,0.07144500000322296,0.0,0.0,0.0,32.3,-0.30000000000000004
26,2025-12-05T15:30:28.384147,0.07329599998229241,0.0,0.0,0.0,32.3,0.30000000000000004
27,2025-12-05T15:30:28.389590,0.07220400004825933,0.0,0.0,0.0,32.9,0.2
28,2025-12-05T15:30:28.395021,0.07118600001376763,0.0,0.0,0.0,32.3,-0.2
29,2025-12-05T15:30:28.400496,0.07137000000057014,0.0,0.0,0.0,32.3,-0.1
30,2025-12-05T15:30:28.405972,0.0727600000232087,0.0,0.0,0.0,32.3,0.1
31,2025-12-05T15:30:28.411447,0.07203699999536184,0.015625,0.0,0.6000000000000014,32.9,0.2
32,2025-12-05T15:30:28.416893,0.07277800000338175,0.0,0.0,0.0,32.9,-0.1
33,2025-12-05T15:30:28.422337,0.0725559999636971,0.015625,0.0,0.0,32.9,0.0
34,2025-12-05T15:30:28.427790,0.07166699998606418,0.0,0.0,-0.6000000000000014,32.3,0.30000000000000004
35,2025-12-05T15:30:28.433203,0.07164800001646654,0.0,0.0,-0.49999999999999645,31.8,0.30000000000000004
36,2025-12-05T15:30:28.438614,0.07118600001376763,0.0,0.0,0.49999999999999645,32.3,0.4
37,2025-12-05T15:30:28.443989,0.07003700000041135,0.0,0.0,0.0,32.3,0.1
38,2025-12-05T15:30:28.449405,0.06903799999236071,0.0,0.0,0.0,32.3,-0.20000000000000004
39,2025-12-05T15:30:28.454814,0.07046400003218878,0.0,0.0,0.6000000000000014,32.9,0.0
40,2025-12-05T15:30:28.460350,0.07274099999676764,0.0,0.703125,0.0,32.9,0.30000000000000004
41,2025-12-05T15:30:28.465838,0.07126000002699584,0.0,0.0,0.0,32.9,0.0
42,2025-12-05T15:30:28.472295,0.0707599999714148,0.0,0.0,0.0,32.3,-0.20000000000000004
43,2025-12-05T15:30:28.477693,0.06988899997395492,0.0,0.0,0.0,31.8,-0.1
44,2025-12-05T15:30:28.483101,0.07055599996874662,0.0,0.0,0.0,32.3,-0.1
45,2025-12-05T15:30:28.488611,0.07112999998071245,0.0,0.0,0.0,32.3,-0.30000000000000004
46,2025-12-05T15:30:28.494001,0.07048200001236182,0.0,-1.078125,0.0,31.2,0.0
47,2025-12-05T15:30:28.499458,0.07148200000983707,0.0,0.0,0.0,32.9,0.0
48,2025-12-05T15:30:28.504926,0.0723340000376993,0.0,0.0,0.0,32.3,0.1
49,2025-12-05T15:30:28.510326,0.07216700004164522,0.0,0.0,0.0,32.3,0.0
50,2025-12-05T15:30:28.515750,0.07020399999646543,0.0,0.0,-0.6000000000000014,32.3,0.1
51,2025-12-05T15:30:28.521149,0.06961100001490195,0.0,0.0,0.0,32.3,0.1
52,2025-12-05T15:30:28.526535,0.07150099997943471,0.0,0.0,0.0,32.3,0.2
53,2025-12-05T15:30:28.531964,0.07100099998069709,0.0,0.390625,0.0,32.3,0
54,2025-12-05T15:30:28.537467,0.07149999999001011,0.0,0.0,1.1000000000000014,33.4,0.2
55,2025-12-05T15:30:28.542866,0.07151900001645117,0.0,0.0,-1.1000000000000014,32.3,0.2
56,2025-12-05T15:30:28.548294,0.07042599997930665,0.0,0.0,0.6000000000000014,32.9,0.1
57,2025-12-05T15:30:28.553736,0.07292700001926278,0.0,0.0,0.0,32.9,0.30000000000000004
58,2025-12-05T15:30:28.559362,0.0720190000151888,0.015625,0.0,-0.6000000000000014,32.3,0.2
59,2025-12-05T15:30:28.564829,0.07111200000053941,0.0,0.0,0.6000000000000014,32.9,0.1
60,2025-12-05T15:30:28.570250,0.07127800000716888,0.0,0.0,0.0,32.9,-0.1
61,2025-12-05T15:30:28.575687,0.06957400000828784,0.0,0.0,0.0,32.9,-0.1
62,2025-12-05T15:30:28.581081,0.06805599997505851,0.0,0.0,-0.6000000000000014,32.3,0.2
63,2025-12-05T15:30:28.586477,0.07014799996341026,0.0,0.0,0.0,32.3,-0.2
64,2025-12-05T15:30:28.591917,0.0695560000281148,0.0,0.0,0.0,32.3,0.2
65,2025-12-05T15:30:28.597386,0.06937099999504426,0.0,0.0,0.0,32.9,0.1
66,2025-12-05T15:30:28.602801,0.07174200004556042,0.0,0.0,0.0,32.9,0.0
67,2025-12-05T15:30:28.608298,0.06775899998956447,0.0,0.0,0.0,33.4,0.0
68,2025-12-05T15:30:28.614022,0.06761200000937606,0.0,0.0,0.0,32.9,0.0
