iteration,timestamp,time_ms,memory_process_mb,memory_system_mb,temp_delta_c,temp_absolute_c,current_ma
1,2025-12-05T15:31:34.479063,1.1381919999848833,0.0,0.0,0.6000000000000014,32.9,0.7000000000000001
2,2025-12-05T15:31:34.486532,0.8842639999784296,0.0,0.0,-1.6999999999999993,31.2,-0.10000000000000003
3,2025-12-05T15:31:34.494641,1.4681750000136162,0.0,0.0,-1.0999999999999979,31.8,0.2
4,2025-12-05T15:31:34.503011,1.7623439999852053,0.0,0.0,1.0999999999999979,32.9,0.20000000000000004
5,2025-12-05T15:31:34.512032,0.6235959999685292,0.0,0.15625,-0.6000000000000014,32.3,0.1
6,2025-12-05T15:31:34.518802,0.6148740000071484,0.0,0.0,0.0,32.9,0.0
7,2025-12-05T15:31:34.526127,1.1870249999219595,0.0,0.0,-0.5,32.9,-0.2
8,2025-12-05T15:31:34.532764,0.4625210000313018,0.0,0.0,0.0,32.9,0.0
9,2025-12-05T15:31:34.539913,1.0275250000404412,0.0,0.0,0.0,33.4,-0.1
10,2025-12-05T15:31:34.546931,0.8596349999834274,0.0,0.0,-0.6000000000000014,32.3,0.0
11,2025-12-05T15:31:34.554791,0.7414309999376201,0.0,0.0,0.0,32.9,0.30000000000000004
12,2025-12-05T15:31:34.561799,0.8149310000362675,0.0,0.0,0.0,33.4,0
13,2025-12-05T15:31:34.568303,0.3559650000397596,0.0,0.0,0.0,33.4,0.30000000000000004
14,2025-12-05T15:31:34.575519,1.0551540000278692,0.0,0.0,0.0,33.4,0.30000000000000004
15,2025-12-05T15:31:34.582099,0.4881329999761874,0.0,0.0,0.6000000000000014,32.9,-0.30000000000000004
16,2025-12-05T15:31:34.588833,0.6229110000504079,0.0,0.0,0.0,32.9,0
17,2025-12-05T15:31:34.595788,0.841616000002432,0.0,0.0,-0.6000000000000014,32.3,-0.5
18,2025-12-05T15:31:34.602298,0.38916900007279764,0.0,0.0,0.0,32.3,0.1
19,2025-12-05T15:31:34.609521,1.1110799999869414,0.0,0.0,0.0,32.9,-0.30000000000000004
20,2025-12-05T15:31:34.616714,0.8258380000825127,0.0,0.0,-0.6000000000000014,32.3,0.20000000000000004
21,2025-12-05T15:31:34.624436,1.4411749999680978,0.0,0.0,0.0,32.9,-0.1
22,2025-12-05T15:31:34.630978,0.3590210000083971,0.0,0.0,0.5,33.4,0.1
