iteration,timestamp,time_ms,memory_process_mb,memory_system_mb,temp_delta_c,temp_absolute_c,current_ma
1,2025-12-05T15:38:25.383242,0.1811490000136473,0.0,0.0,0.0,36.7,0.0
2,2025-12-05T15:38:25.390167,0.20139000002927787,0.0,0.0,1.0999999999999943,37.3,-0.2
3,2025-12-05T15:38:25.396951,0.20029699999213335,0.0,0.0,0.0,37.3,0.2
4,2025-12-05T15:38:25.406902,0.18255700001645891,0.0,0.0,0.5999999999999943,37.3,-0.30000000000000004
5,2025-12-05T15:38:25.413601,0.18205699996087787,0.0,0.0,0.0,37.3,-0.1
6,2025-12-05T15:38:25.420313,0.18424200004574232,0.0,0.0,0.0,36.7,0.1
7,2025-12-05T15:38:25.426873,0.18396400002984592,0.0,0.0,0.0,37.3,0.0
8,2025-12-05T15:38:25.433486,0.1817050000454401,0.0,0.0,-0.5999999999999943,36.7,-0.30000000000000004
9,2025-12-05T15:38:25.440013,0.18101900002420734,0.0,0.0,0.0,37.3,0.1
10,2025-12-05T15:38:25.446544,0.18398299994260015,0.0,0.0,0.0,37.3,0.2
11,2025-12-05T15:38:25.453185,0.1809640000374202,0.0,0.0,0.0,37.3,-0.1
12,2025-12-05T15:38:25.459764,0.18100099998719088,0.0,0.0,0.0,37.3,-0.10000000000000003
13,2025-12-05T15:38:25.466328,0.18368600001394952,0.0,0.0,0.0,36.7,-0.1
14,2025-12-05T15:38:25.472956,0.1837599999134909,0.0,0.0,0.0,37.3,0.1
15,2025-12-05T15:38:25.479624,0.18524099994010612,0.0,0.0,0.0,37.3,0.30000000000000004
16,2025-12-05T15:38:25.486243,0.18437100004575768,0.0,-0.234375,-0.5999999999999943,36.7,0.0
17,2025-12-05T15:38:25.492851,0.18070400005854026,0.0,0.0,0.0,36.7,0.10000000000000003
18,2025-12-05T15:38:25.499483,0.184909000040534,0.0,0.0,1.0999999999999943,37.8,-0.2
19,2025-12-05T15:38:25.506088,0.1839269999663884,0.0,0.0,-0.5,37.3,-0.1
20,2025-12-05T15:38:25.512748,0.18383500002983055,0.0,0.0,0.0,36.7,-0.2
21,2025-12-05T15:38:25.519359,0.18492699996386364,0.0,0.0,0.0,36.7,-0.2
22,2025-12-05T15:38:25.525964,0.183223000021826,0.0,0.0,0.0,37.3,0.0
23,2025-12-05T15:38:25.532574,0.184278999995513,0.0,0.0,0.0,37.3,0.1
24,2025-12-05T15:38:25.539237,0.18451999994795187,0.0,0.0,0.0,37.3,0.2
25,2025-12-05T15:38:25.545886,0.1846669999849837,0.0,0.0,0.0,37.3,0.2
26,2025-12-05T15:38:25.552558,0.183297999910792,0.0,0.0,0.5,37.8,-0.1
27,2025-12-05T15:38:25.559246,0.1872980000143798,0.0,0.0,-0.5,37.3,0.1
28,2025-12-05T15:38:25.565932,0.18511199994009075,0.0,0.0,0.0,37.8,0.20000000000000004
29,2025-12-05T15:38:25.572573,0.1861859999507942,0.0,0.0,0.0,36.7,0.30000000000000004
30,2025-12-05T15:38:25.579230,0.1819269999714379,0.0,0.0,1.0999999999999943,37.8,0.1
31,2025-12-05T15:38:25.585943,0.1849450000008801,0.0,0.0,-0.5,37.3,0.0
32,2025-12-05T15:38:25.592645,0.18650200001957273,0.0,0.0,0.0,37.3,-0.1
33,2025-12-05T15:38:25.599314,0.1853719999189707,0.0,0.0,0.5999999999999943,37.3,-0.2
34,2025-12-05T15:38:25.605929,0.1813160000665448,0.0,0.0,0.0,37.3,-0.10000000000000003
35,2025-12-05T15:38:25.612554,0.1858339999216696,0.0,0.0,0.0,37.8,-0.2
36,2025-12-05T15:38:25.619299,0.18437099993207084,0.0,0.0,-0.5,37.3,-0.1
37,2025-12-05T15:38:25.625959,0.18614999999044812,0.0,0.0,0.5,37.8,0.2
38,2025-12-05T15:38:25.632636,0.1855760000353257,0.0,0.0,-0.5,37.3,0.10000000000000003
39,2025-12-05T15:38:25.639213,0.18650100003014813,0.0,0.0,0.0,37.3,0.2
40,2025-12-05T15:38:25.645896,0.18646400008037745,0.0,0.0,0.5,37.8,0
41,2025-12-05T15:38:25.652587,0.18761199999062228,0.0,0.0,-0.5,37.3,0.0
42,2025-12-05T15:38:25.659227,0.18479799996384827,0.0,0.0,0.0,37.3,0.20000000000000004
43,2025-12-05T15:38:25.665852,0.1843899999585119,0.0,0.0,0.0,37.8,-0.1
44,2025-12-05T15:38:25.672520,0.18574199998511176,0.0,0.0,0.5999999999999943,37.3,0.0
45,2025-12-05T15:38:25.679178,0.1870559999588295,0.0,0.0,0.5,37.8,0
46,2025-12-05T15:38:25.685819,0.18453799998496834,0.0,0.0,0.0,37.8,0.10000000000000003
47,2025-12-05T15:38:25.692467,0.18185300007189653,0.0,0.0,0.0,37.3,0.0
48,2025-12-05T15:38:25.699086,0.18281600000591425,0.0,0.0,0.0,37.8,-0.30000000000000004
49,2025-12-05T15:38:25.705718,0.18468599989773793,0.0,0.0,0.0,37.8,0.1
50,2025-12-05T15:38:25.712309,0.18320499998480955,0.0,0.0,0.0,36.7,-0.1
51,2025-12-05T15:38:25.718831,0.18383400004040595,0.0,0.0,0.5,37.8,0
52,2025-12-05T15:38:25.725450,0.18214900001112255,0.0,0.0,-0.5,37.3,-0.2
53,2025-12-05T15:38:25.732050,0.18461199999819655,0.0,0.0,0.0,37.3,0
54,2025-12-05T15:38:25.738658,0.1831130000482517,0.0,0.0,0.0,37.8,0
55,2025-12-05T15:38:25.745237,0.18407599998226942,0.0,0.0,0.0,37.3,0.1
56,2025-12-05T15:38:25.752943,0.18407499999284482,0.0,0.0,0.5,37.8,0.0
57,2025-12-05T15:38:25.759580,0.18348200001128134,0.0,0.0,0.0,36.7,-0.1
58,2025-12-05T15:38:25.766195,0.1929640000071231,0.0,0.0,1.5999999999999943,37.8,0.2
59,2025-12-05T15:38:25.772863,0.1865749999296895,0.0,0.0,-0.5,37.3,0
60,2025-12-05T15:38:25.779486,0.18801900000653404,0.0,0.0,0.5,37.8,-0.20000000000000004
61,2025-12-05T15:38:25.786149,0.18505700006699044,0.0,0.0,0.0,37.8,-0.1
62,2025-12-05T15:38:25.792813,0.18552000005911395,0.0,0.0,0.5,37.8,-0.1
63,2025-12-05T15:38:25.799412,0.18520499997976003,0.0,0.0,-0.5,37.3,0.2
64,2025-12-05T15:38:25.809359,0.1939090000178112,0.0,0.0,0.0,37.8,0.4
65,2025-12-05T15:38:25.816246,0.19096400001217262,0.0,0.0,-0.5,37.3,0.0
66,2025-12-05T15:38:25.823129,0.19262999990132812,0.0,0.0,0.0,37.3,0.2
67,2025-12-05T15:38:25.830075,0.19200099995941855,0.0,0.0,-0.6000000000000014,37.8,-0.30000000000000004
68,2025-12-05T15:38:25.836953,0.1954269999941971,0.0,0.0,0.0,37.8,0.2
69,2025-12-05T15:38:25.843848,0.19385300004159944,0.0,0.0,0.0,36.7,0.0
70,2025-12-05T15:38:25.850684,0.192779000030896,0.0,0.0,1.0999999999999943,37.8,0.5
71,2025-12-05T15:38:25.857610,0.19109400000161259,0.0,0.0,0.0,37.8,0.0
72,2025-12-05T15:38:25.864532,0.19548299997040886,0.0,0.0,0.0,37.3,0
73,2025-12-05T15:38:25.871458,0.19614899997577595,0.0,0.0,0.6000000000000014,38.4,0.30000000000000004
74,2025-12-05T15:38:25.878368,0.19424200002049474,0.0,0.0,-1.1000000000000014,37.3,0.0
75,2025-12-05T15:38:25.885320,0.1927780000414714,0.0,0.0,0.0,37.3,-0.10000000000000003
76,2025-12-05T15:38:25.892260,0.19305700004679238,0.0,0.0,-0.5999999999999943,36.7,-0.1
77,2025-12-05T15:38:25.899143,0.19590800002333708,0.0,0.0,1.0999999999999943,37.8,0.5
78,2025-12-05T15:38:25.909261,0.18502000000353291,0.0,0.0,-0.6000000000000014,37.8,-0.1
79,2025-12-05T15:38:25.915970,0.18670499991912948,0.0,0.0,0.0,37.3,-0.20000000000000004
80,2025-12-05T15:38:25.922601,0.18896400001722213,0.0,0.0,0.0,36.7,-0.1
81,2025-12-05T15:38:25.929237,0.18412999997963198,0.0,0.0,-1.0999999999999943,36.2,-0.30000000000000004
82,2025-12-05T15:38:25.935986,0.18620499997723527,0.0,0.390625,0.5,36.7,0.0
83,2025-12-05T15:38:25.942664,0.19151899994085397,0.0,0.0,0.0,37.3,0.20000000000000004
84,2025-12-05T15:38:25.949365,0.1838900000166177,0.0,0.0,0.5,37.8,0.1
85,2025-12-05T15:38:25.956043,0.18527899999298825,0.0,0.0,-0.5,37.3,-0.5
86,2025-12-05T15:38:25.962718,0.18670500003281632,0.0,0.0,-0.5999999999999943,36.7,-0.2
87,2025-12-05T15:38:25.969430,0.18583400003535644,0.0,0.0,0.0,36.7,0.2
88,2025-12-05T15:38:25.976076,0.18470500003786583,0.0,0.0,-0.5999999999999943,36.7,-0.1
89,2025-12-05T15:38:25.982724,0.18492699996386364,0.0,0.0,0.5999999999999943,37.3,-0.2
