iteration,timestamp,time_ms,memory_process_mb,memory_system_mb,temp_delta_c,temp_absolute_c,current_ma
1,2025-12-05T15:36:59.352694,3.6048910000090473,0.0,0.0,0.6000000000000014,38.4,0.10000000000000003
2,2025-12-05T15:36:59.361682,3.599280000003091,0.0,0.0,0.0,38.4,-0.2
3,2025-12-05T15:36:59.370696,3.616706000002523,0.0,0.0,0.0,38.4,0.30000000000000004
4,2025-12-05T15:36:59.380670,3.624836000085452,0.0,0.0,0.0,38.4,-0.1
5,2025-12-05T15:36:59.389616,3.6034470000458896,0.0,0.0,0.5,38.9,0.30000000000000004
6,2025-12-05T15:36:59.398570,3.623372999982166,0.0,0.0,0.0,38.4,0.0
7,2025-12-05T15:36:59.407460,3.6280769999166296,0.0,0.0,0.0,38.4,0.1
8,2025-12-05T15:36:59.416355,3.6214099999369864,0.0,0.390625,0.0,38.4,-0.30000000000000004
9,2025-12-05T15:36:59.425252,3.6185950000344747,0.0,0.0,-0.6000000000000014,37.8,-0.2
10,2025-12-05T15:36:59.434177,3.615835000005063,0.0,0.0,0.0,37.8,-0.5
11,2025-12-05T15:36:59.443065,3.6253179999903296,0.0,0.0,0.6000000000000014,38.4,-0.1
12,2025-12-05T15:36:59.452056,3.6313719999725436,0.0,0.0,0.5,37.8,-0.20000000000000004
13,2025-12-05T15:36:59.460967,3.6215390000506886,0.0,0.0,1.1000000000000014,38.9,-0.1
14,2025-12-05T15:36:59.469858,3.6239829998976347,0.0,0.0,-1.1000000000000014,37.8,0.1
15,2025-12-05T15:36:59.478756,3.621447000000444,0.0,0.0,-0.5,38.4,0.1
16,2025-12-05T15:36:59.487726,3.6270759999297297,0.0,0.0,0.6000000000000014,38.4,0.2
17,2025-12-05T15:36:59.496666,3.6273360000222965,0.0,0.0,0.0,38.4,0.1
18,2025-12-05T15:36:59.505606,3.6052250000011554,0.0,0.0,0.0,38.4,0.0
19,2025-12-05T15:36:59.514534,3.6255950000168014,0.0,0.0,-0.6000000000000014,37.8,0.0
20,2025-12-05T15:36:59.523406,3.616927999928521,0.0,0.0,0.0,37.8,0.0
21,2025-12-05T15:36:59.532312,3.6203539999632994,0.0,0.0,0.0,37.8,0.2
22,2025-12-05T15:36:59.541224,3.6280770000303164,0.0,0.0,-0.5,38.4,-0.2
23,2025-12-05T15:36:59.551062,4.541210999946088,0.015625,1.171875,0.0,38.4,0.0
24,2025-12-05T15:36:59.560043,3.619409999942036,0.0,-0.78125,0.0,38.4,-0.30000000000000004
25,2025-12-05T15:36:59.568935,3.618669000047703,0.0,0.0,0.5,38.9,0.1
26,2025-12-05T15:36:59.577823,3.6131690000047456,0.0,0.0,-0.5,38.4,0.10000000000000003
27,2025-12-05T15:36:59.586724,3.6247430000457825,0.0,0.0,0.0,38.4,0.4
28,2025-12-05T15:36:59.595673,3.625391000014133,0.0,0.0,0.5,38.9,-0.30000000000000004
29,2025-12-05T15:36:59.604697,3.6297620000596,0.0,0.0,0.0,38.4,0.10000000000000003
30,2025-12-05T15:36:59.613779,3.607706000025246,0.0,0.0,-0.5,38.4,0.10000000000000003
31,2025-12-05T15:36:59.622839,3.6280770000303164,0.0,0.0,0.0,38.4,-0.4
32,2025-12-05T15:36:59.631811,3.62766900002498,0.0,0.0,0.0,38.4,0.1
33,2025-12-05T15:36:59.640715,3.620299000090199,0.0,0.0,0.0,38.4,0.2
34,2025-12-05T15:36:59.649620,3.604908999932377,0.0,0.0,1.1000000000000014,38.9,-0.4
35,2025-12-05T15:36:59.658571,3.617447000010543,0.0,0.0,-0.5,38.4,0.1
36,2025-12-05T15:36:59.667572,3.6236130000588673,0.0,0.0,0.5,38.9,0.0
37,2025-12-05T15:36:59.676501,3.641020999907596,0.0,0.0,0.0,38.4,0.0
38,2025-12-05T15:36:59.685463,3.63190999996732,0.0,0.0,0.0,38.4,-0.2
39,2025-12-05T15:36:59.694355,3.621761999966111,0.0,0.0,0.0,38.4,0.1
40,2025-12-05T15:36:59.703258,3.619780000008177,0.0,0.0,-1.1000000000000014,37.8,-0.30000000000000004
41,2025-12-05T15:36:59.712191,3.631614000028094,0.0,0.0,1.1000000000000014,38.9,0.0
42,2025-12-05T15:36:59.721068,3.612817000089308,0.0,0.0,-1.1000000000000014,37.8,0.2
43,2025-12-05T15:36:59.729987,3.6184660000344593,0.0,0.0,-0.6000000000000014,37.8,-0.2
44,2025-12-05T15:36:59.738880,3.607910000027914,0.0,0.0,1.1000000000000014,38.9,0.1
45,2025-12-05T15:36:59.747799,3.624076000050991,0.0,0.0,-0.5,38.4,0.30000000000000004
