iteration,timestamp,time_ms,memory_process_mb,memory_system_mb,temp_delta_c,temp_absolute_c,current_ma
1,2025-12-05T15:37:18.550406,0.1612419999901249,0.0,0.0,0.0,38.4,-0.1
2,2025-12-05T15:37:18.555944,0.16748300004110206,0.0,0.0,0.0,39.5,0.0
3,2025-12-05T15:37:18.561397,0.17096400006266776,0.0,0.0,0.0,37.8,0
4,2025-12-05T15:37:18.566827,0.16957500008629722,0.0,0.0,0.0,38.4,-0.5
5,2025-12-05T15:37:18.572320,0.16914899993025756,0.0,-0.390625,0.0,38.9,-0.4
6,2025-12-05T15:37:18.577791,0.1702790000308596,0.0,0.0,0.0,38.4,0.0
7,2025-12-05T15:37:18.583243,0.16907500003071618,0.0,0.0,0.0,37.8,0.5
8,2025-12-05T15:37:18.588726,0.1679270000067845,0.0,0.0,0.0,39.5,0.1
9,2025-12-05T15:37:18.594198,0.17522300004202407,0.0,0.0,0.0,38.4,0.2
10,2025-12-05T15:37:18.599630,0.17222300004959834,0.0,0.0,0.0,37.8,-0.20000000000000004
11,2025-12-05T15:37:18.605061,0.17102000003887952,0.0,0.0,0.0,37.8,-0.4000000000000001
12,2025-12-05T15:37:18.610548,0.1729820000946347,0.0,0.0,0.0,37.8,0.0
13,2025-12-05T15:37:18.616644,0.17838999997366045,0.0,0.0,-1.1000000000000014,37.3,-0.1
14,2025-12-05T15:37:18.622176,0.17903799994201108,0.0,0.0,1.1000000000000014,38.4,0.2
15,2025-12-05T15:37:18.627745,0.1757600000473758,0.0,0.0,0.5,38.9,0.0
16,2025-12-05T15:37:18.633300,0.17620500000248285,0.0,0.0,-0.5,38.4,-0.1
17,2025-12-05T15:37:18.638823,0.17733399999997346,0.0,0.0,-0.6000000000000014,37.8,0
18,2025-12-05T15:37:18.644429,0.17642699992848065,0.0,0.0,1.1000000000000014,38.9,-0.2
19,2025-12-05T15:37:18.649994,0.2277419999927588,0.0,0.0,-1.1000000000000014,37.8,-0.2
20,2025-12-05T15:37:18.655548,0.1745759999494112,0.0,0.0,0.0,38.4,-0.2
21,2025-12-05T15:37:18.661090,0.17553800000769115,0.0,0.0,0.0,38.4,0.0
22,2025-12-05T15:37:18.666588,0.17924099995525467,0.0,0.0,0.0,38.9,0
23,2025-12-05T15:37:18.672105,0.176890000034291,0.0,0.0,0.0,38.4,0.0
24,2025-12-05T15:37:18.677630,0.17616800005271216,0.0,0.0,0.0,38.4,-0.2
25,2025-12-05T15:37:18.683233,0.17831600007411907,0.0,0.0,0.0,38.9,0.4
26,2025-12-05T15:37:18.688851,0.1807979999739473,0.0,0.0,0.0,38.4,-0.1
27,2025-12-05T15:37:18.694424,0.17929700004515325,0.0,0.0,0.0,38.4,0
28,2025-12-05T15:37:18.700021,0.17857499994988757,0.0,0.0,-0.6000000000000014,37.8,0.1
29,2025-12-05T15:37:18.705579,0.17800099999476515,0.0,0.0,0.0,37.8,-0.2
30,2025-12-05T15:37:18.711100,0.1753529999177772,0.0,0.0,0.6000000000000014,38.4,0.1
31,2025-12-05T15:37:18.716720,0.17688999992060417,0.0,0.0,0.0,38.4,0.0
